Player,Salary
Kevin Garnett,23530276.285714287
Shaquille O'Neal,21773214.5
Jermaine O'Neal,21372000.0
Kobe Bryant,21262500.0
Tracy McGrady,20874728.666666668
Tim Duncan,20598704.0
Jason Kidd,20550000.0
Allen Iverson,19926562.5
Stephon Marbury,19926562.5
Dirk Nowitzki,19795714.0
Paul Pierce,19795712.0
Scottie Pippen,19727524.0
Alonzo Mourning,19692300.0
Juwan Howard,19687500.0
Karl Malone,19250000.0
Allan Houston,19125000.0
Chris Webber,19062500.0
Rashard Lewis,18876000.0
Michael Finley,18593750.0
Ray Allen,18582645.0
